customerID,churn_probability,risk_level,model_used
5299-RULOA,0.8394,High,Logistic Regression
8402-OOOHJ,0.0256,Low,Logistic Regression
9445-ZUEQE,0.5416,Medium,Logistic Regression
1091-SOZGA,0.4268,Medium,Logistic Regression
2928-HLDBA,0.3291,Low,Logistic Regression
0404-SWRVG,0.8854,High,Logistic Regression
6497-TILVL,0.3723,Low,Logistic Regression
7219-TLZHO,0.2999,Low,Logistic Regression
4622-YNKIJ,0.2697,Low,Logistic Regression
4412-YLTKF,0.8091,High,Logistic Regression
6734-PSBAW,0.014,Low,Logistic Regression
3930-ZGWVE,0.3932,Low,Logistic Regression
2639-UGMAZ,0.1682,Low,Logistic Regression
2876-GZYZC,0.8748,High,Logistic Regression
6207-WIOLX,0.5009,Medium,Logistic Regression
8587-XYZSF,0.0201,Low,Logistic Regression
3091-FYHKI,0.8605,High,Logistic Regression
2372-HWUHI,0.6725,Medium,Logistic Regression
7799-LGRDP,0.0414,Low,Logistic Regression
7850-VWJUU,0.5805,Medium,Logistic Regression
3774-VBNXY,0.008,Low,Logistic Regression
6217-KDYWC,0.0157,Low,Logistic Regression
0390-DCFDQ,0.8353,High,Logistic Regression
3146-MSEGF,0.0444,Low,Logistic Regression
4080-OGPJL,0.5356,Medium,Logistic Regression
1095-WGNGG,0.255,Low,Logistic Regression
2636-SJDOU,0.1895,Low,Logistic Regression
1131-QQZEB,0.0121,Low,Logistic Regression
5716-EZXZN,0.0867,Low,Logistic Regression
6837-BJYDQ,0.2237,Low,Logistic Regression
2135-RXIHG,0.7407,High,Logistic Regression
6440-DKQGE,0.1734,Low,Logistic Regression
3466-BYAVD,0.4411,Medium,Logistic Regression
3780-YVMFA,0.6817,Medium,Logistic Regression
3874-EQOEP,0.846,High,Logistic Regression
1679-JRFBR,0.2746,Low,Logistic Regression
9073-ZZIAY,0.0373,Low,Logistic Regression
3077-RSNTJ,0.2909,Low,Logistic Regression
6551-GNYDG,0.7384,High,Logistic Regression
9167-APMXZ,0.7836,High,Logistic Regression
2749-CTKAJ,0.0922,Low,Logistic Regression
6371-NZYEG,0.1195,Low,Logistic Regression
7554-NEWDD,0.1091,Low,Logistic Regression
8992-VONJD,0.4445,Medium,Logistic Regression
0867-MKZVY,0.6593,Medium,Logistic Regression
4482-EWFMI,0.8574,High,Logistic Regression
4648-YPBTM,0.0809,Low,Logistic Regression
2907-ILJBN,0.1346,Low,Logistic Regression
6345-FZOQH,0.0085,Low,Logistic Regression
3376-BMGFE,0.7839,High,Logistic Regression
5997-OPVFA,0.0461,Low,Logistic Regression
3445-HXXGF,0.4192,Medium,Logistic Regression
1159-WFSGR,0.271,Low,Logistic Regression
7654-YWJUF,0.2143,Low,Logistic Regression
1875-QIVME,0.894,High,Logistic Regression
6727-IOTLZ,0.1702,Low,Logistic Regression
0691-JVSYA,0.4334,Medium,Logistic Regression
5918-VUKWP,0.0698,Low,Logistic Regression
1744-JHKYS,0.2238,Low,Logistic Regression
2656-FMOKZ,0.8098,High,Logistic Regression
2070-FNEXE,0.6389,Medium,Logistic Regression
5947-SGKCL,0.7915,High,Logistic Regression
3712-PKXZA,0.0313,Low,Logistic Regression
6317-YPKDH,0.6594,Medium,Logistic Regression
6582-OIVSP,0.5855,Medium,Logistic Regression
9367-WXLCH,0.8033,High,Logistic Regression
5524-KHNJP,0.1679,Low,Logistic Regression
1918-ZBFQJ,0.784,High,Logistic Regression
1024-GUALD,0.8294,High,Logistic Regression
4827-USJHP,0.4546,Medium,Logistic Regression
8167-GJLRN,0.6904,Medium,Logistic Regression
0956-SYCWG,0.2046,Low,Logistic Regression
8017-UVSZU,0.2706,Low,Logistic Regression
7100-FQPRV,0.1252,Low,Logistic Regression
2472-OVKUP,0.8489,High,Logistic Regression
2984-RGEYA,0.0063,Low,Logistic Regression
9680-NIAUV,0.1066,Low,Logistic Regression
2146-EGVDT,0.0101,Low,Logistic Regression
2604-IJPDU,0.6344,Medium,Logistic Regression
9178-JHUVJ,0.0754,Low,Logistic Regression
6168-YBYNP,0.6413,Medium,Logistic Regression
7255-SSFBC,0.1425,Low,Logistic Regression
3645-DEYGF,0.3322,Low,Logistic Regression
9323-HGFWY,0.4137,Medium,Logistic Regression
8544-GOQSH,0.6238,Medium,Logistic Regression
3363-DTIVD,0.1593,Low,Logistic Regression
7018-WBJNK,0.7568,High,Logistic Regression
9142-KZXOP,0.4389,Medium,Logistic Regression
7674-YTAFD,0.3153,Low,Logistic Regression
6348-SNFUS,0.0247,Low,Logistic Regression
1285-OKIPP,0.8535,High,Logistic Regression
7825-ECJRF,0.7197,High,Logistic Regression
1347-KTTTA,0.3015,Low,Logistic Regression
7841-TZDMQ,0.6451,Medium,Logistic Regression
4195-NZGTA,0.7709,High,Logistic Regression
7157-SMCFK,0.0092,Low,Logistic Regression
4709-LKHYG,0.0939,Low,Logistic Regression
2504-DSHIH,0.814,High,Logistic Regression
0699-NDKJM,0.2984,Low,Logistic Regression
9286-BHDQG,0.0113,Low,Logistic Regression
0230-WEQUW,0.0352,Low,Logistic Regression
2040-LDIWQ,0.0625,Low,Logistic Regression
6496-JDSSB,0.8059,High,Logistic Regression
9408-SSNVZ,0.8473,High,Logistic Regression
4443-EMBNA,0.01,Low,Logistic Regression
6469-MRVET,0.3297,Low,Logistic Regression
0742-MOABM,0.4837,Medium,Logistic Regression
5961-VUSRV,0.2025,Low,Logistic Regression
6778-JFCMK,0.4298,Medium,Logistic Regression
6341-JVQGF,0.177,Low,Logistic Regression
2232-DMLXU,0.6422,Medium,Logistic Regression
4811-JBUVU,0.6852,Medium,Logistic Regression
0945-TSONX,0.0709,Low,Logistic Regression
2651-ZCBXV,0.1893,Low,Logistic Regression
3316-UWXUY,0.3765,Low,Logistic Regression
8937-RDTHP,0.7917,High,Logistic Regression
7083-MIOPC,0.0069,Low,Logistic Regression
1984-GPTEH,0.2574,Low,Logistic Regression
1251-KRREG,0.6862,Medium,Logistic Regression
0621-JFHOL,0.2803,Low,Logistic Regression
9903-LYSAB,0.8364,High,Logistic Regression
0094-OIFMO,0.883,High,Logistic Regression
9227-UAQFT,0.0742,Low,Logistic Regression
7301-ABVAD,0.045,Low,Logistic Regression
6614-FHDBO,0.1363,Low,Logistic Regression
7576-ASEJU,0.1391,Low,Logistic Regression
9058-HRZSV,0.3937,Low,Logistic Regression
4522-AKYLR,0.639,Medium,Logistic Regression
0221-WMXNQ,0.7563,High,Logistic Regression
0303-UNCIP,0.2216,Low,Logistic Regression
9947-OTFQU,0.8049,High,Logistic Regression
0322-YINQP,0.5862,Medium,Logistic Regression
0959-WHOKV,0.4926,Medium,Logistic Regression
4075-JFPGR,0.345,Low,Logistic Regression
4629-NRXKX,0.7728,High,Logistic Regression
9514-JDSKI,0.8137,High,Logistic Regression
3282-ZISZV,0.2045,Low,Logistic Regression
3675-YDUPJ,0.381,Low,Logistic Regression
4111-BNXIF,0.0819,Low,Logistic Regression
7017-VFHAY,0.098,Low,Logistic Regression
6655-LHBYW,0.2734,Low,Logistic Regression
4959-JOSRX,0.6524,Medium,Logistic Regression
5046-NUHWD,0.6091,Medium,Logistic Regression
7273-TEFQD,0.8614,High,Logistic Regression
3606-TWKGI,0.8939,High,Logistic Regression
7529-ZDFXI,0.6791,Medium,Logistic Regression
7605-BDWDC,0.1119,Low,Logistic Regression
1950-KSVVJ,0.3036,Low,Logistic Regression
0123-CRBRT,0.0398,Low,Logistic Regression
6292-TOSSS,0.0232,Low,Logistic Regression
3197-ARFOY,0.669,Medium,Logistic Regression
6323-AYBRX,0.0128,Low,Logistic Regression
7014-ZZXAW,0.0138,Low,Logistic Regression
4385-GZQXV,0.8449,High,Logistic Regression
7633-MVPUY,0.0396,Low,Logistic Regression
6366-ZGQGL,0.7029,High,Logistic Regression
4716-HHKQH,0.7932,High,Logistic Regression
5940-AHUHD,0.7586,High,Logistic Regression
6432-TWQLB,0.8099,High,Logistic Regression
4484-GLZOU,0.7514,High,Logistic Regression
3179-GBRWV,0.4595,Medium,Logistic Regression
8645-KWHJO,0.7674,High,Logistic Regression
4130-MZLCC,0.4942,Medium,Logistic Regression
0314-TKOSI,0.3981,Low,Logistic Regression
8229-MYEJZ,0.5436,Medium,Logistic Regression
2080-SRCDE,0.3815,Low,Logistic Regression
9577-WJVCQ,0.1021,Low,Logistic Regression
9512-UIBFX,0.7161,High,Logistic Regression
6202-DYYFX,0.5661,Medium,Logistic Regression
3808-HFKDE,0.5893,Medium,Logistic Regression
5583-SXDAG,0.8222,High,Logistic Regression
3488-PGMQJ,0.8378,High,Logistic Regression
3580-REOAC,0.5836,Medium,Logistic Regression
7534-BFESC,0.8134,High,Logistic Regression
3727-OWVYD,0.1004,Low,Logistic Regression
2294-SALNE,0.2606,Low,Logistic Regression
4847-TAJYI,0.9108,High,Logistic Regression
1563-IWQEX,0.2818,Low,Logistic Regression
8203-XJZRC,0.3892,Low,Logistic Regression
6556-DBKZF,0.0834,Low,Logistic Regression
6851-WEFYX,0.8534,High,Logistic Regression
2985-JUUBZ,0.5808,Medium,Logistic Regression
6390-DSAZX,0.7028,High,Logistic Regression
0895-LMRSF,0.4222,Medium,Logistic Regression
8098-LLAZX,0.9294,High,Logistic Regression
8266-VBFQL,0.8309,High,Logistic Regression
8181-YHCMF,0.0383,Low,Logistic Regression
2240-HSJQD,0.5496,Medium,Logistic Regression
1248-DYXUB,0.0183,Low,Logistic Regression
0265-EDXBD,0.7828,High,Logistic Regression
4115-BNPJY,0.1072,Low,Logistic Regression
3167-SNQPL,0.7297,High,Logistic Regression
4091-TVOCN,0.1893,Low,Logistic Regression
1098-TDVUQ,0.4587,Medium,Logistic Regression
7277-OZCGZ,0.671,Medium,Logistic Regression
1557-EMYVT,0.1664,Low,Logistic Regression
2799-ARNLO,0.8676,High,Logistic Regression
7563-BIUPC,0.8734,High,Logistic Regression
5027-YOCXN,0.2255,Low,Logistic Regression
3973-SKMLN,0.0101,Low,Logistic Regression
2321-OMBXY,0.0971,Low,Logistic Regression
2840-XANRC,0.8672,High,Logistic Regression
6745-JEFZB,0.6431,Medium,Logistic Regression
5020-ZSTTY,0.1188,Low,Logistic Regression
9880-TDQAC,0.0672,Low,Logistic Regression
8705-WZCYL,0.7462,High,Logistic Regression
7102-JJVTX,0.221,Low,Logistic Regression
8626-PTQGE,0.0456,Low,Logistic Regression
4983-CLMLV,0.5924,Medium,Logistic Regression
5701-YVSVF,0.8352,High,Logistic Regression
5804-LEPIM,0.8728,High,Logistic Regression
5697-GOMBF,0.651,Medium,Logistic Regression
2739-CACDQ,0.7705,High,Logistic Regression
9385-EHGDO,0.0381,Low,Logistic Regression
9498-FIMXL,0.2424,Low,Logistic Regression
2379-GYFLQ,0.4443,Medium,Logistic Regression
0122-OAHPZ,0.8703,High,Logistic Regression
2868-SNELZ,0.7806,High,Logistic Regression
4322-RCYMT,0.0823,Low,Logistic Regression
6680-NENYN,0.4739,Medium,Logistic Regression
2088-IEBAU,0.077,Low,Logistic Regression
7982-VCELR,0.6947,Medium,Logistic Regression
1343-EHPYB,0.7084,High,Logistic Regression
6035-BXTTY,0.2456,Low,Logistic Regression
6885-PKOAM,0.0375,Low,Logistic Regression
7520-HQWJU,0.104,Low,Logistic Regression
9639-BUJXT,0.0217,Low,Logistic Regression
5924-SNGKP,0.0546,Low,Logistic Regression
0021-IKXGC,0.9092,High,Logistic Regression
2034-GDRCN,0.9035,High,Logistic Regression
8966-SNIZF,0.0075,Low,Logistic Regression
6243-OZGFH,0.7681,High,Logistic Regression
4654-DLAMQ,0.1764,Low,Logistic Regression
0513-RBGPE,0.0618,Low,Logistic Regression
5160-UXJED,0.2364,Low,Logistic Regression
4115-NZRKS,0.9077,High,Logistic Regression
0219-YTZUE,0.7663,High,Logistic Regression
0623-IIHUG,0.6627,Medium,Logistic Regression
4572-DVCGN,0.8014,High,Logistic Regression
3351-NGXYI,0.6249,Medium,Logistic Regression
8984-EYLLL,0.283,Low,Logistic Regression
9057-MSWCO,0.383,Low,Logistic Regression
9833-TGFHX,0.4644,Medium,Logistic Regression
9294-TDIPC,0.2988,Low,Logistic Regression
5229-DTFYB,0.2506,Low,Logistic Regression
0104-PPXDV,0.0758,Low,Logistic Regression
5176-LMJXE,0.0278,Low,Logistic Regression
3583-KRKMD,0.6323,Medium,Logistic Regression
1010-DIAUQ,0.7982,High,Logistic Regression
9069-LGEUL,0.4425,Medium,Logistic Regression
7302-ZHMHP,0.3904,Low,Logistic Regression
9571-EDEBV,0.4044,Medium,Logistic Regression
3520-FJGCV,0.1146,Low,Logistic Regression
6563-VRERX,0.0596,Low,Logistic Regression
0259-GBZSH,0.9051,High,Logistic Regression
6122-EFVKN,0.0771,Low,Logistic Regression
2805-EDJPQ,0.2667,Low,Logistic Regression
6862-CQUMB,0.6858,Medium,Logistic Regression
7156-MXBJE,0.1817,Low,Logistic Regression
6158-HDPXZ,0.7097,High,Logistic Regression
9601-BRXPO,0.7559,High,Logistic Regression
2863-IMQDR,0.0618,Low,Logistic Regression
5686-CMAWK,0.5217,Medium,Logistic Regression
5651-CRHKQ,0.2524,Low,Logistic Regression
6905-NIQIN,0.5506,Medium,Logistic Regression
8204-YJCLA,0.0405,Low,Logistic Regression
5167-ZFFMM,0.8503,High,Logistic Regression
6583-SZVGP,0.3185,Low,Logistic Regression
4895-TMWIR,0.3328,Low,Logistic Regression
0533-BNWKF,0.6194,Medium,Logistic Regression
1708-PBBOA,0.2073,Low,Logistic Regression
8782-LKFPK,0.6794,Medium,Logistic Regression
5522-JBWMO,0.6318,Medium,Logistic Regression
3597-MVHJT,0.8038,High,Logistic Regression
9774-NRNAU,0.5591,Medium,Logistic Regression
0224-RLWWD,0.7648,High,Logistic Regression
9967-ATRFS,0.2248,Low,Logistic Regression
3951-NJCVI,0.8298,High,Logistic Regression
2977-CEBSX,0.0524,Low,Logistic Regression
0177-PXBAT,0.6806,Medium,Logistic Regression
6599-CEBNN,0.5659,Medium,Logistic Regression
2519-ERQOJ,0.6663,Medium,Logistic Regression
5876-QMYLD,0.086,Low,Logistic Regression
2277-AXSDC,0.0712,Low,Logistic Regression
9442-JTWDL,0.1569,Low,Logistic Regression
0979-PHULV,0.5471,Medium,Logistic Regression
3067-SVMTC,0.028,Low,Logistic Regression
5495-GPSRW,0.0875,Low,Logistic Regression
7606-BPHHN,0.0099,Low,Logistic Regression
4742-DRORA,0.2546,Low,Logistic Regression
0111-KLBQG,0.714,High,Logistic Regression
4800-VHZKI,0.4661,Medium,Logistic Regression
7989-CHGTL,0.4767,Medium,Logistic Regression
0334-GDDSO,0.8774,High,Logistic Regression
4163-NCJAK,0.0737,Low,Logistic Regression
5233-AOZUF,0.7689,High,Logistic Regression
5973-EJGDP,0.5497,Medium,Logistic Regression
1996-DBMUS,0.5261,Medium,Logistic Regression
7916-VCCPB,0.5749,Medium,Logistic Regression
4686-GEFRM,0.14,Low,Logistic Regression
5249-QYHEX,0.0405,Low,Logistic Regression
0578-SKVMF,0.6901,Medium,Logistic Regression
5564-NEMQO,0.8192,High,Logistic Regression
2233-FAGXV,0.4362,Medium,Logistic Regression
5605-IYGFG,0.7748,High,Logistic Regression
7663-ZTEGJ,0.3351,Low,Logistic Regression
3935-TBRZZ,0.0496,Low,Logistic Regression
8111-BKVDS,0.4573,Medium,Logistic Regression
2055-SIFSS,0.2179,Low,Logistic Regression
2806-MLNTI,0.5265,Medium,Logistic Regression
8734-DKSTZ,0.8115,High,Logistic Regression
4360-PNRQB,0.7593,High,Logistic Regression
6152-ONASV,0.0393,Low,Logistic Regression
9063-ZGTUY,0.0528,Low,Logistic Regression
7781-HVGMK,0.0337,Low,Logistic Regression
2181-UAESM,0.5704,Medium,Logistic Regression
2957-LOLHO,0.5608,Medium,Logistic Regression
6048-NJXHX,0.0542,Low,Logistic Regression
2320-SLKMB,0.5156,Medium,Logistic Regression
4980-URKXC,0.0617,Low,Logistic Regression
4376-KFVRS,0.1169,Low,Logistic Regression
5886-VLQVU,0.6587,Medium,Logistic Regression
3577-AMVUX,0.4954,Medium,Logistic Regression
0771-WLCLA,0.7403,High,Logistic Regression
5628-RKIFK,0.5656,Medium,Logistic Regression
0206-TBWLC,0.3216,Low,Logistic Regression
2937-FTHUR,0.494,Medium,Logistic Regression
1910-FMXJM,0.6682,Medium,Logistic Regression
7752-XUSCI,0.7003,High,Logistic Regression
4110-PFEUZ,0.7592,High,Logistic Regression
0732-OCQOC,0.0234,Low,Logistic Regression
5168-MSWXT,0.8669,High,Logistic Regression
1090-ESELR,0.0589,Low,Logistic Regression
8592-PLTMQ,0.0277,Low,Logistic Regression
5760-WRAHC,0.4014,Medium,Logistic Regression
8847-GEOOQ,0.2863,Low,Logistic Regression
0256-LTHVJ,0.7322,High,Logistic Regression
4785-FCIFB,0.0155,Low,Logistic Regression
8313-NDOIA,0.8539,High,Logistic Regression
5149-CUZUJ,0.3093,Low,Logistic Regression
0942-KOWSM,0.0866,Low,Logistic Regression
4237-CLSMM,0.3852,Low,Logistic Regression
1452-VOQCH,0.8891,High,Logistic Regression
4719-UMSIY,0.2938,Low,Logistic Regression
6614-VBEGU,0.5571,Medium,Logistic Regression
0880-TKATG,0.8621,High,Logistic Regression
3811-VBYBZ,0.9033,High,Logistic Regression
1480-BKXGA,0.1521,Low,Logistic Regression
2996-XAUVF,0.0495,Low,Logistic Regression
9076-AXYIK,0.2789,Low,Logistic Regression
5968-XQIVE,0.3241,Low,Logistic Regression
8896-RAZCR,0.0184,Low,Logistic Regression
4640-UHDOS,0.5713,Medium,Logistic Regression
4933-IKULF,0.1473,Low,Logistic Regression
3583-EKAPL,0.7887,High,Logistic Regression
1304-BCCFO,0.708,High,Logistic Regression
4104-PVRPS,0.2433,Low,Logistic Regression
9399-APLBT,0.8102,High,Logistic Regression
2359-KMGLI,0.7714,High,Logistic Regression
3780-DDGSE,0.4746,Medium,Logistic Regression
4431-EDMIQ,0.4627,Medium,Logistic Regression
0306-JAELE,0.8592,High,Logistic Regression
6227-HWPWX,0.6051,Medium,Logistic Regression
0486-LGCCH,0.075,Low,Logistic Regression
0447-BEMNG,0.3071,Low,Logistic Regression
4612-SSVHJ,0.8341,High,Logistic Regression
5168-MQQCA,0.3184,Low,Logistic Regression
5949-XIKAE,0.8188,High,Logistic Regression
7971-HLVXI,0.1479,Low,Logistic Regression
9094-AZPHK,0.8779,High,Logistic Regression
3649-JPUGY,0.058,Low,Logistic Regression
4472-LVYGI,0.2956,Low,Logistic Regression
8372-JUXUI,0.8672,High,Logistic Regression
3552-CTCYF,0.2248,Low,Logistic Regression
6778-YSNIH,0.7492,High,Logistic Regression
0388-EOPEX,0.8017,High,Logistic Regression
5756-OZRIO,0.1343,Low,Logistic Regression
6579-JPICP,0.388,Low,Logistic Regression
8205-OTCHB,0.4346,Medium,Logistic Regression
4134-BSXLX,0.1877,Low,Logistic Regression
0505-SPOOW,0.0076,Low,Logistic Regression
6235-VDHOM,0.7503,High,Logistic Regression
7783-YKGDV,0.7309,High,Logistic Regression
4374-YMUSQ,0.3329,Low,Logistic Regression
4513-CXYIX,0.1035,Low,Logistic Regression
3957-HHLMR,0.0539,Low,Logistic Regression
7803-XOCCZ,0.2538,Low,Logistic Regression
5736-YEJAX,0.0278,Low,Logistic Regression
5609-CEBID,0.8507,High,Logistic Regression
8981-FJGLA,0.7724,High,Logistic Regression
7218-HKQFK,0.8777,High,Logistic Regression
4636-QRJKY,0.7895,High,Logistic Regression
1135-LMECX,0.3848,Low,Logistic Regression
4332-MUOEZ,0.3183,Low,Logistic Regression
8535-SFUTN,0.6303,Medium,Logistic Regression
5956-VKDTT,0.8922,High,Logistic Regression
8677-HDZEE,0.5601,Medium,Logistic Regression
2475-MROZF,0.48,Medium,Logistic Regression
9412-GHEEC,0.6095,Medium,Logistic Regression
3482-ABPKK,0.1113,Low,Logistic Regression
6705-LXORM,0.8194,High,Logistic Regression
0257-ZESQC,0.5826,Medium,Logistic Regression
7531-GQHME,0.2772,Low,Logistic Regression
5174-ITUMV,0.4385,Medium,Logistic Regression
4109-CYRBD,0.6011,Medium,Logistic Regression
0913-XWSCN,0.4553,Medium,Logistic Regression
6825-UYPFK,0.6513,Medium,Logistic Regression
8397-MVTAZ,0.8442,High,Logistic Regression
0750-EBAIU,0.2863,Low,Logistic Regression
8606-CIQUL,0.1255,Low,Logistic Regression
3571-DPYUH,0.2525,Low,Logistic Regression
7601-GNDYK,0.0284,Low,Logistic Regression
0356-OBMAC,0.2027,Low,Logistic Regression
8067-NIOYM,0.054,Low,Logistic Regression
1403-GYAFU,0.0061,Low,Logistic Regression
4234-XTNEA,0.8852,High,Logistic Regression
1297-VQDRP,0.3288,Low,Logistic Regression
9282-IZGQK,0.9087,High,Logistic Regression
5348-CAGXB,0.8759,High,Logistic Regression
0621-HJWXJ,0.4024,Medium,Logistic Regression
5844-QVTAT,0.1269,Low,Logistic Regression
8905-IAZPF,0.3122,Low,Logistic Regression
5394-MEITZ,0.0537,Low,Logistic Regression
6859-QNXIQ,0.1124,Low,Logistic Regression
2782-LFZVW,0.7017,High,Logistic Regression
2866-IKBTM,0.3872,Low,Logistic Regression
1342-JPNKI,0.8328,High,Logistic Regression
2817-NTQDO,0.5409,Medium,Logistic Regression
7129-AZJDE,0.4471,Medium,Logistic Regression
6986-IJDHX,0.5491,Medium,Logistic Regression
2560-PPCHE,0.3271,Low,Logistic Regression
4676-MQUEA,0.3648,Low,Logistic Regression
8138-EALND,0.264,Low,Logistic Regression
3580-HYCSP,0.1404,Low,Logistic Regression
1352-HNSAW,0.1036,Low,Logistic Regression
2075-PUEPR,0.012,Low,Logistic Regression
1982-FEBTD,0.0718,Low,Logistic Regression
5301-GAUUY,0.6443,Medium,Logistic Regression
5791-KAJFD,0.1159,Low,Logistic Regression
2654-VBVPB,0.3722,Low,Logistic Regression
1154-HYWWO,0.0946,Low,Logistic Regression
2501-XWWTZ,0.766,High,Logistic Regression
